timestamp,threshold_b_a,beta_l_alpha_l,poorsignal,delta,theta,alpha_l,alpha_h,beta_l,beta_h,gamma_l,gamma_m
2023-11-22 06:09:41.460,0.236,50,1178,352.75341796875,0.5019902586936951,433.6380310058594,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421
2023-11-22 06:09:42.795,0.236,50,1322,366.87286376953125,0.5028321743011475,432.97991943359375,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421
2023-11-22 06:09:43.730,0.236,51,794,358.1754150390625,0.4802525043487549,414.6518249511719,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421
2023-11-22 06:09:58.950,0.236,59,1014,353.4756164550781,0.4770459234714508,408.1814880371094,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421
2023-11-22 06:09:59.677,0.236,61,608,354.1993103027344,0.4799868166446686,411.8822326660156,0.9333333373069763,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421
2023-11-22 06:10:05.331,0.236,58,1028,355.6123046875,0.4806409776210785,418.7204895019531,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763
2023-11-22 06:10:46.628,0.236,44,1346,369.76202392578125,0.4912833571434021,417.1087951660156,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763
2023-11-22 06:11:01.220,0.236,78,766,368.2904968261719,0.48529312014579773,427.9654846191406,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763
2023-11-22 06:11:05.661,0.236,72,828,360.54827880859375,0.46551424264907837,401.58380126953125,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763
2023-11-22 06:11:06.231,0.236,75,496,356.3415222167969,0.47337108850479126,397.26580810546875,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763
2023-11-22 06:11:06.553,0.236,80,298,365.2432556152344,0.4937871992588043,397.3918151855469,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763
2023-11-22 06:11:30.030,0.236,238,252,373.3097229003906,0.5105258822441101,396.8122863769531,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8999999761581421
2023-11-22 06:11:36.150,0.236,34,1756,409.1928405761719,0.527705192565918,477.95843505859375,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8999999761581421
2023-11-22 06:11:37.263,0.236,35,1054,411.234130859375,0.5212306380271912,492.19915771484375,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8999999761581421
2023-11-22 06:11:52.964,0.236,54,1096,407.7078552246094,0.5020633935928345,491.96734619140625,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8666666746139526
2023-11-22 06:12:09.287,0.236,29,2062,452.1219787597656,0.5200660824775696,499.4803771972656,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8666666746139526
2023-11-22 06:12:10.653,0.236,30,1310,456.67279052734375,0.5217002034187317,513.498046875,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8666666746139526
2023-11-22 06:12:13.003,0.236,29,2280,509.7168884277344,0.565581738948822,538.9981079101562,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8666666746139526
2023-11-22 06:12:14.783,0.236,30,1764,530.531982421875,0.5759785175323486,540.6311645507812,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8666666746139526
2023-11-22 06:12:16.413,0.236,31,1182,530.7102661132812,0.5663735270500183,548.5985717773438,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8666666746139526
2023-11-22 06:12:23.376,0.236,27,2188,566.04443359375,0.5694981813430786,575.00048828125,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8666666746139526
2023-11-22 06:12:24.936,0.236,28,1528,571.5416259765625,0.5604767203330994,583.2366943359375,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8666666746139526
2023-11-22 06:12:26.007,0.236,30,916,571.6228637695312,0.5638741254806519,592.8592529296875,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8666666746139526
2023-11-22 06:12:26.816,0.236,32,782,571.277587890625,0.5721635222434998,565.2828369140625,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.8666666746139526
2023-11-22 06:12:27.445,0.236,35,470,563.3322143554688,0.5602598190307617,568.0535278320312,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.8999999761581421
2023-11-22 06:12:27.738,0.236,40,284,561.978271484375,0.5583400726318359,569.0349731445312,1.0,1.0,1.0,1.0,0.9333333373069763
50009986555414,200,743426,319543,335451,47442,0,83892,99138,87196
2023-11-22 06:07:43.756,1.0,0.28095217342437917,200,453434,221345,435971,239011,0,96937,92626,112515
2023-11-22 06:07:44.741,1.0,2.7838541088335664,200,1294716,433484,270174,1225156,0,583241,506694,916440
2023-11-22 06:07:45.742,1.0,0.29233759821287325,200,174018,360922,417206,231374,0,183520,137258,125910
2023-11-22 06:07:47.781,1.0,0.4729503049133187,200,217738,524330,242036,377385,0,153504,135044,49050
2023-11-22 06:07:48.791,1.0,0.40456913179565956,200,73824,216191,86581,27657,0,26349,9767,64780
2023-11-22 06:07:49.752,1.0,1.9270438005089967,200,29315,202857,22397,31264,0,32863,49385,30617
2023-11-22 06:07:50.741,1.0,3.3629721266478523,200,430920,181562,129335,91541,0,174200,144169,132321
2023-11-22 06:07:51.766,1.0,0.29011277097447513,200,305856,167614,280746,58153,0,94252,105288,246911
2023-11-22 06:07:52.893,1.0,2.1067708617957264,200,563054,330703,91495,66999,0,111996,81952,92801
2023-11-22 06:07:54.155,1.0,1.2910315775934145,200,962716,616644,124392,46249,0,94039,102377,136560
2023-11-22 06:07:55.752,1.0,2.8547067423944217,200,427128,383625,71132,146943,0,149830,134124,84332
2023-11-22 06:07:57.752,1.0,0.2517315309050998,200,489471,789096,586764,97387,0,99354,30801,90063
2023-11-22 06:07:59.804,1.0,24.80450281425891,200,180745,82123,2665,5166,0,41215,26642,13896
2023-11-22 06:08:00.770,1.0,1.9993025244116456,200,305881,288865,222230,121005,0,120266,142448,69845
2023-11-22 06:08:01.748,1.0,2.841123396341552,200,304992,1785902,68827,145182,0,70088,164495,70860
2023-11-22 06:08:02.768,1.0,1.1241271820448877,200,596040,255934,96240,60919,0,69356,152076,352555
2023-11-22 06:08:03.789,1.0,0.5163707774573479,200,643385,473729,202159,26283,0,103762,93963,176387
2023-11-22 06:08:04.760,1.0,1.6620856131316382,200,761622,178530,93210,78159,0,87203,118412,243064
